Location,Bees,Bird,Bryophytes,Butterflies,Carabids,Hoverflies,Isopods,Ladybirds,Macromoths,Grasshoppers_&_Crickets,Vascular_plants
HU53,2.6,39.9792,244.7,7.6,8.1,9.7,3,1.8,77.8,NA,194
HU54,3.2,48.0249,239.6,11,10.3,9,2.3,1.2,104.9,0.8,176.7
HU55,4.7,38.0938,238.8,9.9,7.6,9.9,3.1,2.1,72.5,NA,186
HU56,2.5,50.1637,244,6,15.9,10,2.3,0.8,110.3,0.8,188.3
HU57,2.2,47.0269,241.1,5.8,12.6,9.2,2.3,0.8,108.9,0.8,186
HU58,2.3,47.7167,243.9,9.5,15.2,8.6,2.3,0.9,103.5,0.8,189.8
HU59,2.3,49.1787,244.4,6,16.5,9.6,2.3,0.9,104.6,0.8,184.4
HU66,4.9,32.6688,237.3,11,6.7,10,3.1,1.5,70.4,NA,188.2
HU67,3.2,44.7763,237.8,8.7,14.6,7,2.3,0.8,84.8,NA,185.2
HU68,2.4,45.9654,234.9,11.2,14.8,9.1,2.3,0.8,102.4,NA,165.1
HU69,2.6,50.6627,236.3,9.7,16.5,9.8,2.3,0.8,109.9,0.8,186.6
HY10,6.7,48.118,303.8,16.1,19.2,7,3.8,2.3,130.9,1.8,237.3
HY20,6.7,77.5013,313.7,16,26.1,9.9,4,3.2,175.5,2.1,232.4
HY21,6,72.1493,225.7,15.7,24.8,9.7,3.7,4.2,169.8,1.7,209.4
HY22,6.1,73.5839,218.4,15.7,25,10,3.6,4.2,169.7,1.7,206.7
HY30,6.4,79.411,284.4,16,27.7,11.3,2.5,3.6,173.3,1.6,231.6
HY31,5.8,77.502,233.6,16.1,28.1,11.5,1,4.1,168.9,1.5,212.4
HY32,5.9,77.9664,267,16,28.1,10.9,3.5,4,169,1.3,227.2
HY33,5.7,71.1036,248.6,15.7,25.5,10.6,1,4.3,164.3,1.3,198.8
HY34,5.4,43.6403,211,10.9,15.4,4.3,3.8,4,122.5,0.8,201.2
HY40,5.8,75.902,226.5,15.9,27.3,11,3.5,4,170.1,1.9,217.4
HY41,5.9,75.2547,221.5,15.8,25.7,10.8,1.1,4,169.6,2.1,209.7
HY42,5.7,70.6312,248.8,15.8,25.6,9.6,3.7,4.4,169,1.5,206.5
HY43,5.9,76.4121,235.5,15.9,27.2,10.5,2.3,3.9,170.5,2,208.6
HY44,5.4,65.7792,220,15.6,21.1,9.8,1,4.5,162.7,1.5,202.7
HY45,5.2,60.7132,219.8,15.5,18,8.5,1,4.5,156,1.1,201.1
HY50,5.8,71.6531,219.9,15.2,25.5,9.9,3.2,4.4,171,2.1,215.6
HY51,5.6,68.1028,219.4,15.6,25.3,9.8,0.8,4.6,166.9,2,207.4
HY52,6.5,46.8353,214.3,15.7,15.6,7.2,3,3.3,162.9,1.4,202.7
HY53,5.5,64.0127,227.6,14.1,19.4,10.4,3,4.1,161.3,0.8,217.7
HY54,6.1,57.3227,217.3,21.7,32.1,36.5,3.8,4.3,174.1,2.3,201
HY55,5.2,43.4602,230.1,11.3,14.8,3.2,3.1,3.7,110.3,NA,197.3
HY60,5.3,53.7678,203.1,13.6,16.8,7.5,3.7,4.5,158.5,0.8,221.5
HY61,6.1,53.1747,217.2,23.3,21.3,13,3.6,3.5,159,1.5,209.4
HY62,5.4,65.7802,210.4,15.5,21.3,9.6,1,4.3,165.4,1.3,203
HY63,5.5,64.7404,209.8,15,18.6,7.8,1,4.4,164.6,1.5,200.7
HY64,5.2,62.47,214.5,15.5,21.3,8.4,0.8,4.5,166.5,1.5,199.4
HY73,5.8,50.0652,224.1,22.8,19.8,12,3.6,3.6,155.6,1.3,211.9
HY74,5.2,59.9808,208.8,15.6,18.4,6.8,0.8,4.3,161.6,1.5,197.2
HY75,5.3,59.8602,205.7,15.5,18.9,7.4,0.8,4.3,160.9,1.5,194.4
HZ16,4.1,NA,NA,9.3,4.2,10.1,3,1.4,77.3,NA,NA
HZ17,4.7,NA,NA,9.3,3.9,9.9,3.1,1.8,73.9,NA,NA
HZ26,4.9,NA,NA,9.3,4.8,7.4,2.3,1.5,77.1,NA,NA
HZ27,5,NA,NA,10.5,7.5,6.6,2.3,1.9,85.3,0.8,NA
NA64,4,NA,NA,9.5,6.1,19.8,1.1,0.8,87,1.4,NA
NA74,4.1,NA,NA,9.9,7.4,21.6,0.8,0.8,76.3,1.5,NA
NA91,4.5,51.8249,318.3,12.1,12.3,23.6,2.1,0.9,111.7,1.6,273.7
NA92,4.1,43.3329,280.4,10.8,3.9,24.2,0.9,0.8,83.5,2,297
NA93,4.2,27.1195,304,9.9,6.8,22.3,2.2,0.8,67.8,1.5,272
NB00,4.1,50.8285,278.1,11.8,9.3,24.6,1.1,0.7,96.1,1.5,293.1
NB01,4.4,42.1803,275.5,13.2,3.9,23.8,0.9,NA,83.6,1.9,280
NB02,4.5,39.0703,257.8,11.1,1.5,23.2,2.9,NA,69.1,1.5,264.3
NB03,4.3,54.7767,261.7,16,13.2,23.1,2,0.7,106.4,1.9,257.8
NB10,4.5,44.3092,280,12.6,4.9,22.6,2.2,NA,78.8,1.8,284
NB11,4.4,42.1623,269.1,15,2.1,23.3,2.6,NA,74,1.9,265.2
NB12,4.3,44.7142,262.7,15.6,6.2,23.9,2.4,NA,72.5,1.5,239.2
NB13,4.2,54.4624,256,16.2,9.9,23.9,2.3,0.7,70.4,1.9,247.9
NB14,4.1,50.2107,266.2,15,6.2,23,1,1.5,63.7,1.8,249
NB20,4.7,43.2524,272.5,14.7,4.1,23.1,2.8,NA,74.4,1.6,273.1
NB21,5,44.0435,284.4,14.8,2.2,23.4,3,NA,73.4,1.9,238.9
NB22,4.8,43.8918,253.6,14.3,1.7,23.9,3,NA,72.1,1.7,248.3
NB23,4.3,49.9997,270.4,15.9,6.4,21.6,2.3,0.8,66,2.7,237.3
NB24,4.7,55.3431,273.5,16.6,10.2,23.5,3.6,1.3,80.3,3,233.8
NB25,4.8,28.4519,324.6,15.3,6.7,23.2,2.8,0.8,65.2,1.5,293.7
NB30,6.2,35.4733,284.6,16.4,2.5,23,2.9,NA,35.2,0.8,256.3
NB31,5.6,52.74,259.6,16.9,5.7,24.7,2.9,0.8,74.5,1.7,252
NB32,4.8,48.9301,274.1,15.9,5.1,23,2,NA,70.2,0.8,243.4
NB33,5.3,43.2157,273,16.4,2.3,22.4,3,0.8,65.5,0.8,236.2
NB34,4,49.7077,271.2,15.1,5,21.9,0.8,0.8,61,1.5,228.3
NB35,4.2,50.391,276.3,14.3,7.5,21.9,1.4,0.8,81.3,2.3,234.4
NB40,6.2,32.6101,313.7,14.2,4.1,22.5,2.9,NA,40.2,0.8,244.4
NB41,7.5,44.3733,315.3,15.6,3.6,23.9,3.1,NA,81.1,0.8,270.5
NB42,5.3,48.1123,275.6,15.9,5.8,23.9,2.5,0.7,74.9,1.3,232.3
NB43,6.6,63.4299,281.9,17.5,12.4,23.9,3.8,NA,200.3,3.6,258.9
NB44,4.4,52.4405,267.6,15.6,5.6,22.8,2.4,0.7,87,2.4,220.6
NB45,4.1,47.0436,262,15.8,4.6,21.8,2.5,0.7,66,1,213.4
NB46,4,49.4047,267,15,3,21.2,2.9,0.7,61.9,1.7,227.2
NB52,5.9,39.5015,274.4,15.9,2,23.2,2.8,NA,73.8,1.5,227.3
NB53,5.2,48.6811,274.8,15.7,4.3,22,2.8,0.7,69.8,0.8,225.6
NB54,5.9,56.2626,265.5,15.8,4.3,24.5,3.7,0.7,95.8,1.7,213.4
NB55,6.4,42.4399,255.6,15,0.7,23.7,3.6,NA,66.6,0.8,208.5
NB56,4.8,53.8323,262.5,15.7,4.6,22,3.8,0.7,106.6,1.6,233
NB90,7.5,74.7548,315.9,18.1,8,44.9,3.6,NA,207.9,2,237.1
NB91,7.5,72.0057,317.2,17,6.9,44.1,3.7,NA,200.1,1.7,229.7
NC00,7.2,73.0005,315,17.9,7.5,46.6,3.6,NA,193.8,1.9,235.4
NC01,6.8,75.0451,307.8,18.3,9.3,44.3,3.7,0.8,218.9,2.6,228.7
NC02,7.1,76.4957,306.5,18.2,9.7,36.8,3.7,0.8,223.6,2.4,232.8
NC03,7,75.8512,302.4,17.1,9.2,31.5,3.7,0.7,215,2.1,228.6
NC10,5.9,60.8058,312.3,17.9,14.4,33.4,2.9,NA,217.4,2.2,233.5
NC11,6.1,62.6099,308.1,17.6,10.5,32.7,3,NA,204.4,1.6,231.6
NC12,6.6,71.3444,304,19.5,9.1,32.5,3.6,0.7,224.3,2.4,228
NC13,6.9,75.2569,303.3,18.8,10.1,34.5,3.7,0.8,224.1,2.3,229.4
NC14,7.3,76.8375,299.4,16.4,11,29.1,3.7,0.7,212.3,2,226.6
NC15,7.1,66.4296,307.7,15.3,8.5,29.1,3.7,NA,155.2,1.5,239.5
NC16,7,55.8802,277.4,15.5,7.8,26.2,3.7,0.8,121.8,1.4,243
NC20,6.4,62.8603,294.4,21.2,9.2,31.6,2.8,0.8,213.6,2.1,225.6
NC21,6.3,68.1988,314.5,19.7,8.9,30.7,3.4,0.7,222.5,2.4,236.9
NC22,6.4,69.4119,307.4,17.9,8.8,32.5,3.6,NA,222.2,2.3,234.2
NC23,6.8,72.0497,301.4,16.5,9.2,32.3,3.6,0.8,223.4,2.1,226.6
NC24,6.6,63.2261,298.2,15.5,4.9,33.6,3.8,NA,169.1,1.5,221.4
NC25,7.4,74.0569,301.9,16,13.5,28.9,3.7,NA,211.3,1.8,229
NC26,7.2,67.3427,275.2,15.2,8.5,30.5,3.7,NA,155.6,1.5,241.1
NC27,7.3,61.2785,264.2,15.3,15.4,25.4,3.8,NA,126.5,1.4,249.5
NC30,10.7,66.9288,270.8,20.9,15.5,37.3,2.9,0.7,225,2.3,276
NC31,5.4,58.3908,289.2,16,7.3,28.2,2.4,NA,172.2,1.5,227.6
NC32,6.1,51.8319,307.7,14.1,3.6,23.7,2.6,0.7,156,1.5,233.4
NC33,5.7,57.5286,308.9,14.5,7.8,26.6,2.7,0.8,159.7,1.5,232.5
NC34,5.9,54.0069,307.9,14,8.1,23.2,2.6,0.7,155.5,1.5,232.5
NC35,6,57.2996,304.8,14.1,7.2,26.1,3.7,0.7,163.8,1.5,229.6
NC36,7.8,76.4537,290.5,16.4,14.1,27.4,3.7,0.8,206.3,1.8,235.3
NC37,7.6,63.5987,284.6,16.5,8.1,22.8,3.8,NA,124.8,1.5,237.5
NC40,18.1,72.0462,291.9,21.4,18.4,42.9,3.2,0.8,223.4,2.6,237.6
NC41,5.7,58.7981,294.3,18.8,3.1,30.5,1.7,0.8,183.4,1.2,227.8
NC42,5.7,62.2356,274.4,15,3.9,24.8,3.6,NA,168.9,1.5,229.7
NC43,6,51.7765,304.6,13.8,4.5,23,3.5,0.7,162.5,1.5,227.3
NC44,5.7,59.9168,303,14.6,7.6,27.5,2.8,0.8,180.7,1.5,228.5
NC45,7.6,68.7746,310.8,15.7,13,32.6,3.5,NA,192.5,1.4,232.4
NC46,7.6,72.9826,313.8,16,9.2,30.6,3.7,NA,142.8,1.5,247.6
NC50,21.6,76.0615,267.8,21.5,16.3,47.4,3.2,1.2,217.1,3.2,294.3
NC51,5.9,68.5198,261.6,21,18.7,30,2.7,0.7,203,1.7,289.9
NC52,5.8,55.3307,266.8,14.4,8.9,27.1,2.7,0.7,170.6,1.4,230.7
NC53,6.4,65.5268,298.6,17.7,3.9,33,3.7,NA,190.5,1.5,224.7
NC54,5.9,57.6505,299.5,15,7.8,23.9,3.6,0.7,151.7,1.5,224.5
NC55,7.7,75.33,282.4,17.4,10.1,28.7,3.7,0.9,218.7,1.5,236.9
NC56,8.2,77.3785,273.5,17,14.9,27.4,3.7,0.7,181.3,1.6,239
NC60,13.9,74.2641,299.9,21.5,16.1,43.9,3.6,0.8,204.6,2.8,226.3
NC61,5.7,62.3138,281.6,15.8,12.3,15.5,3.4,0.7,138,1.5,216
NC62,6.3,51.4963,279,14.5,12.4,15.1,2.1,0.7,132.3,1.5,233.6
NC63,5.9,63.232,292.1,15.8,11.1,19.3,1.9,0.8,128.3,1.5,222.7
NC64,6.2,64.0365,281.8,17.1,13.7,21.8,3,NA,189.2,1.5,241.6
NC65,6.1,60.9567,286.4,15.5,14.3,17.6,3.7,0.7,122.3,1.5,226.9
NC66,8.2,78.8753,330,17.1,12.9,23.9,3.7,0.8,143.4,1.5,230.3
NC70,22.4,82.2136,301.2,22.1,19.6,48.7,3.6,2.9,220.2,3.5,219.6
NC71,5.4,66.5256,281,21.2,23.6,35.1,2.5,NA,195,1.8,214.3
NC72,6.2,53.6876,255.9,14.4,11.6,15.5,2.1,0.7,137.7,1.4,233.6
NC73,6.3,57.7833,264.6,14.1,10.9,15.1,3.6,0.7,74.8,1.5,234.6
NC74,6.5,72.2144,264.3,20.5,21.6,29.7,3.1,0.7,196.4,1.9,241.6
NC75,6.4,66.7627,275.6,19.7,16.8,22.1,3.5,NA,159.8,1.5,244.8
NC76,8.7,80.0203,300.2,17.4,14.1,22.5,3.6,0.9,144.2,1.8,246.5
NC80,12.8,73.9803,312.5,21.2,22.1,36.6,2.9,1.5,185.1,3,221.8
NC81,5.8,67.98,278.6,21.5,22.5,33.3,2.8,1.5,201.5,1.9,220.8
NC82,6.1,63.7367,270.2,15,12.4,14.2,1.6,0.7,99.8,1.5,236.5
NC83,5.9,58.0225,260,14.3,12.8,15.8,1.8,0.7,98.8,1.2,244.2
NC84,5.9,66.5981,255.1,15.9,14.4,14.7,3.2,0.7,148.8,1.5,242.4
NC85,6.5,69.4415,259.3,20.4,17.8,18.8,3.3,1.5,166.4,1.6,248
NC86,8.6,83.2952,265.7,16.2,19.4,14.7,3.4,2.6,162.5,2,253.2
NC90,12.7,77.4791,265.6,23.1,18.7,43.7,3.1,2.4,215.3,3.1,302
NC91,17.6,82.2355,314,22.5,15.4,36.8,3.2,1.9,233.6,3,209.7
NC92,6.2,66.6849,284,21.2,16.2,16.9,1.6,0.7,189.4,1.5,229.7
NC93,6,63.0935,251.3,19.7,16.9,13.9,2,1.5,180.6,1.5,242.3
NC94,6.2,69.0578,253.1,20.4,17.9,15.5,2.8,0.8,186.5,1.6,245.1
NC95,6.5,69.615,257.7,14.3,17.7,14.2,3.5,0.7,185.1,1.6,246.9
NC96,8.2,86.9114,274.4,16.8,26.5,13.1,3.1,2.6,164.5,1.8,247.3
ND01,19.1,81.8939,279.2,22.4,19.8,37.8,3.3,2.1,233.5,3.1,232
ND02,5.5,74.3126,255.4,19.7,22.9,27.6,3,0.8,186.2,1.9,242.9
ND03,6,72.0191,248.6,18.2,19.4,15,1.7,0.8,140.4,1.6,247.3
ND04,6.3,74.9298,247.1,17.3,19.8,15.7,2,0.8,176.1,2.1,244.2
ND05,6.2,82.445,257.7,19.8,23.1,19.4,3,2.6,167,1.6,247.6
ND06,7.6,86.3087,232.5,16.6,28,10.9,3.1,3.4,176,1.9,235.9
ND07,8.3,75.9866,242.8,16,28.7,10.7,3.6,4.1,175.7,1.4,227.5
ND12,5.6,82.7002,262.9,21.3,20.7,30.3,3.3,0.9,188.6,2,257.2
ND13,5.6,84.4845,266.6,20.6,20.7,31.7,3.2,1.1,189.5,1.9,257.1
ND14,5.7,79.5721,248.4,19.4,24.4,26.5,3,1,148.7,1.8,249.1
ND15,7.1,84.9041,242.8,16.8,21.1,15.6,3.7,1.7,167.1,1.9,260.6
ND16,7.5,86.2583,213.9,17.3,27.8,15.4,3.4,2.8,175.3,1.4,235.1
ND17,8.5,77.6264,254.5,16.1,28.2,8.5,3.3,4.3,179.3,2,251.3
ND19,7,45.9921,306.9,15.4,17.3,10.6,2.3,3.2,134.9,1.7,240.6
ND23,6.7,85.4575,232.8,18.4,19.3,21.3,3,1.8,157.1,1.6,295.5
ND24,7.1,75.62,240.6,15.8,22.8,14.7,2.3,1.4,157.9,1.7,246.9
ND25,6.7,85.5126,227.1,17.3,23.3,16.7,3.7,2,173.7,1.5,242.6
ND26,7.7,82.8324,218.7,15.9,28.9,11,3.7,3,177.6,1.7,233
ND27,7.8,81.5428,263.4,16,27.9,11.6,3.6,3.8,177.7,2.1,236.3
ND28,6.4,48.5523,233.4,15.3,24,7.6,2.3,4.5,118.8,0.8,225.4
ND29,6.9,73.9924,302.7,15.3,25.8,10,3.4,2.9,175.4,0.9,228.9
ND33,7.8,67.5934,220,17.5,29.7,12.9,3.2,2.2,179.7,2.3,296.4
ND34,6.9,85.2522,246.8,18.1,25.1,20.3,3.4,2.1,172.9,1.5,266.6
ND35,7.5,84.2765,215.5,16,28,10.5,3.7,3.2,176.1,1.8,247.2
ND36,7.7,81.7083,247.9,15.9,25.1,11.1,3.7,3.1,178.4,2.1,251.9
ND37,7.5,79.5741,267.3,15.9,26,10.3,3.6,3.5,176.9,2.1,251.2
ND38,6.2,61.2335,215.7,15.1,20.6,11.1,3.7,4.2,174.2,0.9,222.8
ND39,6.4,75.8459,254.1,15.9,26.9,10,3.5,4.2,176.1,2,231
ND47,6.3,59.3628,240.5,15.1,18.7,10.6,3.7,4.6,159.5,2,236.3
ND48,6.4,73.4526,229.7,15.4,26.8,11.4,3.6,4.2,175.2,1.8,225.7
ND49,6.3,75.1043,213.5,15.7,26.5,9.8,3.4,4.1,176.3,1.9,220.2
NF60,9.3,68.1941,355.3,17.9,37.9,28.3,3.5,0.8,139.7,2.1,354.3
NF66,5.9,33.6211,325.4,12.4,14.1,24.1,2.1,0.7,83.7,1.5,330
NF67,6.7,58.3793,323.3,14,33.3,25.8,3,0.8,135,2.1,317.4
NF68,7,NA,NA,12.7,7.8,22.5,0.8,0.8,61.9,2.2,NA
NF70,9.7,69.2296,355.3,18.4,37.1,28.4,3,0.8,138.3,2.2,356.8
NF71,8.5,67.6132,358.6,17.4,36.4,27.9,3.5,0.8,138,2.2,355.7
NF72,7.9,68.3753,317,17.7,35.4,27.9,3.4,0.8,138,2.1,316.3
NF73,7.9,67.9226,323.6,17.3,35.1,28.7,3.4,0.8,140.9,2.3,334
NF74,7.5,65.5527,337.4,16.7,34.9,28.3,3.1,0.8,138.3,2.3,357.2
NF75,7.2,62.6397,341.5,15.2,34.5,27.4,3.1,0.8,137.3,2.2,346.5
NF76,7,62.5866,317.3,14,33.7,26.9,3.1,0.8,136.9,2.1,329.2
NF77,6.7,62.1782,312.6,14.5,28.7,26,3.1,0.8,134.3,2.1,313
NF80,10.1,43.1726,317,19.7,35.5,28.6,3.9,1.1,153.7,2.4,330.6
NF81,8.7,49.5473,335.9,17.8,36.9,31.6,2.3,0.7,128.1,3.5,323.4
NF82,5.8,39.168,339.1,16.9,11.5,13.7,2.3,0.7,84.4,2.5,328.7
NF83,7.3,58.0597,327.7,16.5,38.3,33.8,2.3,0.7,105.2,3.3,305.9
NF84,7.4,62.1514,294,14.3,34.6,28.3,2.5,0.8,136.4,2.8,300.3
NF85,8.1,63.7772,296.8,15.3,33.5,28.5,2.1,0.8,137.9,3.3,303.7
NF86,6.1,56.2409,288.4,13.8,32.4,26.1,1.5,0.7,103.9,2.3,304.7
NF87,6.7,62.5161,296.9,15.2,18,25.7,3,0.8,133.6,1.7,311.1
NF88,6,53.8288,336.1,12.6,14.2,24.5,3,0.8,115.9,2.2,304
NF89,4.5,32.7502,314.1,13.8,7.4,21.6,0.8,1.4,82,1.5,307.8
NF95,5.6,46.5864,318.3,14.8,3.5,23.5,1.3,NA,83,2,282.7
NF96,5.4,55.9199,313.2,14.3,5.1,24.6,0.9,0.8,88.7,3.2,274.9
NF97,4.3,52.0293,323.3,13.4,4.2,21.8,0.8,0.7,84.5,1.5,298.2
NF98,6.8,60.26,338.8,14.8,14.3,25,3,0.8,126.4,2.6,311.3
NF99,5.8,57.3705,342.2,14.1,14.6,24.5,2.7,0.8,123.2,2.3,272.6
NG08,5.6,58.7696,298.4,15.4,9.6,22.9,2.2,0.7,135.4,2.6,273.6
NG09,5.3,57.0776,304.7,14.7,13.4,24.1,2.7,0.8,125.6,2.2,280.5
NG13,5.7,38.7946,342.9,16.4,5.1,14.8,2.3,0.8,96.3,3,320
NG14,6.7,64.3152,303.9,16.4,13.2,27,2.1,0.7,91.1,2.6,290.4
NG15,6.8,61.5809,304.3,16,5.9,26.1,1.5,0.8,83.2,2.2,294.1
NG18,4.4,46.6518,325.7,11.5,5.3,22.8,0.8,0.8,86.9,1.6,308.9
NG19,4.5,53.7444,288.3,15.9,10.1,21.9,2.2,0.7,107.8,2.7,298.7
NG20,10.1,75.0831,323.3,23.2,11.5,30.3,2.9,0.7,176.8,3.6,342.5
NG23,6.6,53.3792,332.1,16,10.5,22,1.8,0.8,82.2,3.1,305.2
NG24,7.8,70.5736,311.8,17.8,8.5,22.2,2.7,0.7,133.9,2.3,291
NG25,6.6,67.9396,324.3,17.4,6.5,23.7,2.4,0.8,115,2.2,293.5
NG26,6.5,64.9344,315.6,16.8,7.3,27.6,2,0.7,109.3,2.2,303.5
NG29,4.9,48.5457,293.4,16.2,7,21.9,2.1,0.7,96,2.9,268.8
NG30,8,72.8687,343.7,23.7,12.9,36.6,3,0.7,212.1,3.5,347.5
NG31,6.6,37.8695,337.1,18.5,9.5,20.8,2.4,0.8,64.3,3.3,347.4
NG32,7,64.5776,336.2,20.1,13.1,26.7,2.3,0.7,193.8,2.3,331.4
NG33,8.1,72.8242,330.1,21.7,9,26.7,2.6,0.7,170.8,2.6,302
NG34,6.9,64.3386,301,17.2,11,28.9,1.5,0.8,218.6,2.3,283.7
NG35,7.3,68.9408,317,18,7.2,25.8,2.2,0.8,149.7,2.3,289.2
NG36,6.6,64.6618,334,17.2,7.2,26.9,2,0.7,116.7,2.2,317.3
NG37,6.3,58.8915,329.7,16.7,7.3,25.5,1.5,NA,82.9,2.4,317.5
NG40,7.7,52.7821,344,20.9,8.8,26.4,2.6,0.7,181.3,2.6,346.9
NG41,7.3,65.0437,340.2,21.3,11.7,28.6,2.3,0.8,218.4,2.8,353.8
NG42,7.9,71.0985,342.3,18.4,12.6,28.7,2.8,0.7,176.4,2.3,329.3
NG43,7.5,69.2758,309.3,19.5,12.4,29.1,2.2,0.8,214.1,2.4,277.2
NG44,7.9,72.3206,315,18.8,7.7,28,2.4,0.8,203.5,2.7,281.2
NG45,7,69.0756,337.3,18.4,6.7,28.3,2.3,0.8,184.9,2.3,305.3
NG46,6.5,65.6982,306.4,18,6.5,28.5,2,0.7,170.7,2.2,282.8
NG47,6.3,63.3289,324.1,17.7,7.2,31.7,1.8,NA,113.6,2.2,283.6
NG49,6.7,40.1051,332.5,15.6,5.5,27.1,2.7,0.8,68.5,2.2,297.4
NG50,8.2,76.4501,344,24,7.7,30.7,2.3,0.8,200.2,3.1,344.3
NG51,9.1,75.334,340.3,23.4,8.4,29.7,2.5,0.8,206.5,3,338.6
NG52,8.5,73.4808,336.8,19,9.7,29.3,2.6,0.8,201.1,2.8,337.4
NG53,8.5,73.5013,332.9,19.6,8.1,26.5,2.5,0.8,210.2,2.9,308.6
NG54,7.9,71.2308,338.7,18.9,7.1,27.9,2.4,0.8,217.1,2.7,295.6
NG55,6.8,67.0002,328.7,18.3,6.1,27.5,2.3,0.8,218.8,2.4,296.3
NG56,6.3,61.1985,312.3,17,6.1,29.9,1.6,0.8,216.7,2.2,276.5
NG60,8.5,78.0921,334.3,24,7.8,28.8,2.3,0.7,210.3,3.1,347.3
NG61,8.8,76.1029,336.4,23.2,7.9,28.5,2.4,0.8,220.7,2.9,335.5
NG62,8.5,74.6892,329.5,22.5,7.8,29.6,2.5,0.8,218.2,2.9,322.3
NG63,7.6,43.3119,340.5,17.8,6.9,47,2.9,NA,178.2,2.2,309.2
NG64,7.5,45.7711,339.9,18.3,15.7,35.5,2.6,NA,200.3,1.8,274.9
NG65,7.4,66.7685,332.7,18.1,5,31.8,2.2,0.7,222.1,2.4,248.7
NG66,8,49.6244,333.4,17,5.1,32.3,3.1,NA,183.2,2.8,260
NG70,8,75.7786,269.8,22.7,13.6,28.9,2.5,0.7,221.7,2.6,322.5
NG71,8.4,77.5152,285.2,23.1,5,28.9,2.3,0.8,203.4,3,309.7
NG72,8.5,75.9419,330.7,22.9,5.7,29,2.3,2.2,220.6,2.9,307
NG73,8.6,68.3104,312.6,18.5,5,47.2,3.6,NA,213.7,3.1,310.4
NG74,10.1,73.4131,334.3,18.1,16.7,44,1.7,0.7,249.1,2.1,273.3
NG75,9.7,61.4673,333.9,18.5,15,55.3,3.9,NA,220.8,2.9,253.3
