Location,Bees,Birds,Bryophytes,Butterflies,Carabids,Hoverflies,Isopods,Ladybirds,Macromoths,Grasshoppers_&_Crickets,Vascular_plants
HU55,1.5,37.1983,191.4,9.1,21.8,17.2,3.3,NA,37.9,0.8,232.1
HU56,1.4,43.1935,192.3,9.2,28.5,19.2,3.3,1.5,70.2,0.8,238.9
HU57,1.4,41.8391,191.9,9.1,26.8,17.6,3.1,NA,72.1,0.8,234.3
HU58,1.4,42.7466,191.3,9.1,27.8,19,3.3,1.5,71.4,0.8,238.3
HU59,1.4,43.5506,191,9.9,27.5,18.1,3.3,1.5,70.3,0.8,236.3
HU66,1.5,31.7736,192.6,9.1,21.2,15.9,3.3,NA,36.8,0.8,233.8
HU67,1.3,40.1837,192.1,9.1,27.2,16.2,3.3,NA,54.7,0.8,230.2
HU68,1.3,42.6901,192.3,9.2,26.9,17.8,3.3,NA,44.8,0.8,225.8
HU69,1.4,44.1857,193.7,11.4,25.7,18.3,3.3,1.5,69.7,0.8,228.7
HY10,3.2,50.0703,273.6,8.7,22.8,20.3,3.1,0.7,117.8,3.1,347.6
HY20,4.3,63.1551,282,10.9,35.6,25.5,5,1.5,152.6,4.1,322.6
HY21,4.4,58.2327,194,12.1,36.4,25.8,4.4,1.5,148.9,3.5,276.8
HY22,4.4,59.2398,191.4,12.2,36.2,25.4,4.8,1.5,149.6,3.7,275.4
HY30,4.4,62.0492,252.7,12.4,36.5,25.9,5.4,1.5,161.2,3.7,310.4
HY31,4.4,61.367,203,13.6,36.1,25.3,5.2,1.5,160.4,3.8,280
HY32,4.4,61.6454,235.5,12.4,36.6,25.4,4.9,1.5,158.8,3.8,300.9
HY33,4.5,58.064,205.6,11.4,36.3,25.4,4.5,1.5,141.1,3.1,277.1
HY34,4.4,42.7474,190.7,8.2,25.3,19.4,3.1,NA,68.5,2.3,282.8
HY40,4.4,59.1102,196.3,13,36.9,26.1,5.2,1.5,152.3,3.4,279.9
HY41,4.4,59.2652,193.1,12.4,36.2,25.7,4.9,1.5,150.3,3.9,276.7
HY42,4.4,57.6983,211.4,12.3,36.7,25.5,4.4,1.5,146.1,3.5,281.1
HY43,4.4,61.2584,204.6,12.4,37.1,25.6,4.8,1.5,160.3,3.7,279.1
HY44,4.5,55.8291,194.6,11.6,29.1,22.2,3.7,1.5,106.4,3.5,276.2
HY45,4.5,53.9725,194.2,12.9,29.3,19.3,4.7,1.5,86.7,2.4,274.2
HY50,4.4,57.1719,194.1,12.5,36.6,25.8,4.4,1.5,153.8,3.8,279
HY51,4.4,55.623,193.1,12.9,36.2,24.7,4.2,1.5,133.3,3.6,276.8
HY52,3.7,41.964,191.2,11.3,35,21.4,4.1,1.5,157,3.7,275.3
HY53,4.6,53.513,203.2,12,32.1,20.7,3.5,1.5,87.8,3.3,283.2
HY54,6,53.6721,193.6,18,50.5,47.9,3.9,2.5,166.8,3,275.2
HY55,4.5,44.0218,197.3,8.4,28,19.3,3,NA,57.6,2,273.7
HY60,4,44.7171,188.1,11.9,29,19.3,3.1,1.5,75.7,2.8,291
HY61,3.9,46.2247,192.6,18.7,35,17.1,3.5,2,145.5,4.8,276.9
HY62,4.4,55.4933,189.9,12.6,30.8,21.6,3.7,1.5,129,3.7,276.5
HY63,4.3,55.0481,190,12.8,32.1,20.2,5,1.5,132.2,2.8,275.2
HY64,4.4,54.1077,192.4,12,28.1,21.9,3.8,1.5,94.8,3.5,274.5
HY73,3.9,44.0646,199.2,18.3,32.3,16,3.3,2.2,135.9,4.1,287.6
HY74,4.4,52.9571,189.4,12.4,28.7,19.1,3.3,1.5,99,3.4,275.2
HY75,4.5,52.4585,187.1,13.2,28.1,20,3.6,1.5,89.9,3.5,271.6
HZ16,1.3,NA,NA,9.1,23.6,16.4,3.2,NA,36.1,0.8,NA
HZ17,1.4,NA,NA,9.1,23.5,14.5,3.2,NA,34.8,0.8,NA
HZ26,1.3,NA,NA,9.1,23.8,16.1,3.2,NA,36,0.8,NA
HZ27,1.4,NA,NA,9.3,24.6,18.4,3.3,NA,42.5,0.8,NA
NA64,2.6,NA,NA,9.1,22.1,4.3,3.3,0.7,61.5,0.8,NA
NA74,2.9,NA,NA,9.1,20.2,9.7,3.4,0.7,14.7,0.8,NA
NA91,3.5,51.8513,287,10.1,31.2,15,6.6,0.7,87.5,1.5,380.4
NA92,4,39.7191,256.5,9.3,29.1,11.9,7,NA,22.6,1.5,392.4
NA93,3.4,30.5263,269.5,10.8,21.5,7.1,3.8,NA,18.2,0.8,389.2
NB00,3.4,47.9342,258.6,9.6,32.9,13.2,7.7,0.7,83.7,1.6,386.6
NB01,3.8,39.0688,255.5,12.5,29.3,11.9,7.1,NA,22.7,1.6,381.1
NB02,3.3,37.1718,240,12.3,23.2,7.8,7,NA,17.6,1.6,359.8
NB03,4.2,54.7639,239.6,10.3,30.3,14.7,5.6,0.7,87,1.4,367.3
NB10,3.7,39.5953,256.2,12.6,29.1,10.7,6.9,0.7,80.2,1.6,376.6
NB11,3.3,37.4612,248.2,12,27.1,11.4,7.1,NA,84.2,1.6,365.5
NB12,3,38.7601,236.6,12.2,28.4,11,6.9,NA,24.3,1.1,350.8
NB13,4.4,51.0845,240.1,10.7,30.1,12.4,4.4,1.5,88.8,1.6,366
NB14,4.1,46.717,256,10.5,27.3,11,3.9,NA,86.3,0.9,368.7
NB20,3.1,38.1841,251.1,12.8,26.9,9.8,6.9,NA,91.7,1.3,364.1
NB21,3.1,39.4807,260.2,12.9,26.8,10.9,7,NA,62.6,1.1,352.2
NB22,3.3,38.9539,236.7,12.7,27,10.4,4.5,NA,58.6,1.5,355.4
NB23,4.3,44.4504,241.5,11.2,27.2,11.3,3.7,NA,90.9,1.1,348.2
NB24,4.7,52.9599,236.2,16.3,28.8,18,4.1,1.4,120,2.3,349.4
NB25,2.5,30.5283,323.9,11.5,17.8,7.9,3.4,NA,23.4,0.8,398.8
NB30,3,35.5631,256.7,11.7,17.9,1.9,7.1,NA,20.2,2.3,356.4
NB31,4.3,46.0033,242.8,15.3,33,19.8,4.7,0.7,110.8,1.8,356.2
NB32,3.7,42.6514,240.6,10.6,28.8,10.8,3.8,NA,64.9,1.4,353.6
NB33,3.2,39.8258,246.4,11.9,27.7,3.9,3.8,NA,60.5,1.8,348.4
NB34,4.1,45.8248,242.5,9.1,24.2,10.6,3.7,NA,92.5,0.8,345
NB35,4.4,47.8515,242.9,9.9,23.4,12.6,3.8,NA,85.7,0.8,345.6
NB40,3,34.3475,288.6,10.9,19.1,1.8,6.3,NA,15.4,0.8,313.2
NB41,3.5,40.592,285.2,12.5,31,13.5,4,NA,63.9,1.6,363.3
NB42,3.9,43.9326,244.6,12.2,27.9,11.4,3.9,NA,81.1,1.5,347.7
NB43,6.4,61.5365,249.6,16.7,32.7,27.7,6.8,1.4,181,1.7,352.4
NB44,4.5,48.1956,238.1,10.8,25.1,13.4,3.9,NA,88.8,0.9,338.6
NB45,3.8,42.5051,232.9,11.4,25.9,9.7,3.8,NA,75.7,0.9,333.3
NB46,3.6,46.2324,233.8,10.7,22.8,10.8,3.8,NA,90.4,0.9,339.1
NB52,2.9,38.7984,246.4,12.2,14,3.5,3.8,0.7,64.2,0.8,341.8
NB53,3.8,43.8949,244.5,11.8,25.9,13,4.2,NA,59.6,1.6,336.9
NB54,5.6,52.4551,235,14.7,27.5,16.7,3.9,0.7,86.1,1.7,331.1
NB55,3.5,40.6689,224.8,13.1,25.8,12.2,4.2,NA,62.6,2.3,323.2
NB56,4.7,50.0562,234.6,14.2,23.6,16.3,3.8,1.5,88.6,1.6,334.6
NB90,6.7,70.4817,295.8,17.6,42.9,36.5,4,2.2,192,1.7,316.4
NB91,6,67.3951,295.9,17.6,38.2,34.4,3.9,2.7,192.2,1.6,323.3
NC00,6.1,68.3514,295.7,17.7,33.9,44.3,3.9,1.4,194.1,1.9,313.1
NC01,6.4,73.202,288.5,17.5,43.9,55.7,4.1,2.3,195,2.1,316.9
NC02,6.8,74.678,287.9,16.9,46.8,61.3,4.2,2.8,195.6,2,318.9
NC03,6.3,72.771,285.1,16.3,42.4,54.6,4.1,2.3,195,2.3,325
NC10,4.3,61.5292,292,16.4,39.6,56.8,4.1,2.7,187.2,2.1,313.9
NC11,4.4,62.5546,291.7,16,39.8,57.9,4.1,2.1,174.3,2.2,320.6
NC12,6.8,70.5418,286.3,17.1,42.5,68.8,4.1,2.3,193.4,2.1,321.2
NC13,6.7,74.0366,283.6,16.4,44.5,66.6,4.2,2.6,194.8,2,325.1
NC14,6,74.3835,278.1,15.7,41.1,43.7,4.1,2.2,194.8,2.9,326.2
NC15,6.1,66.5387,283.7,16.6,43.9,33.3,3.9,1.3,197.2,2.5,339.6
NC16,4.5,56.4373,228.4,15.8,36.9,26.2,3.6,0.7,108,2.5,320.7
NC20,6.9,62.6467,276.9,16.4,40.7,72.9,3.9,0.8,135.7,2.3,297.5
NC21,7.6,67.6493,300,17.2,41.8,67.1,4.1,2.5,177.1,2.2,314.9
NC22,7.7,68.5327,292.9,16.8,42.9,63.2,4.1,2.5,184.6,2.2,325.2
NC23,7.4,71.2465,281.2,16.3,43.7,62.7,4.2,2.6,192.8,2.1,326.3
NC24,6.6,66.5404,276.6,15.7,40.9,46.2,4.1,0.7,191.1,2.7,327.1
NC25,5.2,73.1422,281,16.2,46.5,37.3,4,2.2,196.3,3.2,329.1
NC26,6.1,67.675,230,16.9,47.3,40.1,4,1.3,193.9,2.7,308.4
NC27,5.6,61.2396,210.9,15.2,41.2,28.1,3.7,NA,135.7,2.9,313.9
NC30,8.2,66.5959,265.9,16.2,38.2,75.3,3.9,0.8,165,2.4,319.2
NC31,3.8,58.0564,270.6,10.8,35.2,45.4,3.8,0.8,123.1,2.3,296.7
NC32,4.6,56.1723,294.7,12.5,33.1,39.6,3.8,0.7,122.4,1.6,315.2
NC33,3.8,60.1384,292.6,11.1,33.8,43.8,4.1,0.9,136.1,2.1,322
NC34,3.7,58.5832,291.4,10,32.2,39.6,4,1.5,127.4,1.7,318.2
NC35,3.5,61.87,289.5,12.3,33,43.8,4,0.9,126.8,2.1,317
NC36,5.1,73.8224,261,16.5,42.9,32.5,4,2,180.1,2.9,326.9
NC37,4.7,62.5543,248.1,15.4,39.5,27.1,3.8,0.7,144.6,2.9,324.2
NC40,8.2,71.4388,275.3,14.7,40.6,74.4,4,1,195.8,2.4,318.5
NC41,4,60.7259,282.3,12.5,36.5,46.3,3,0.8,130.8,1.8,305.3
NC42,4.3,63.7366,259.6,12.4,22.2,43.4,3.8,0.8,133,1.8,303.2
NC43,3.8,57.9431,289.5,11.1,31.4,38.4,4.1,0.7,123.7,1.9,312.6
NC44,3.6,62.8061,288.4,14.1,31.7,46.2,4.1,0.8,130.4,2.2,313.9
NC45,6.1,70.4129,287.3,15,38.6,37.9,4,0.8,138.5,2.9,334.3
NC46,6.4,74.0894,285.7,16.4,43.1,32,3.9,0.9,150.8,3.1,346.3
NC50,8.7,75.1559,266.5,14.8,27.8,78,4,0.8,181.9,2.3,330.7
NC51,2.3,68.8006,265.8,13,22.6,74,3.4,1.3,117.2,2.2,334.5
NC52,3.9,60.7524,233.2,11.5,31.8,39.4,3.7,0.7,126.1,2.2,303.5
NC53,2.7,70.9979,283.4,13.6,31.3,66.5,4.1,0.8,101.8,2.5,332.5
NC54,2.6,63.7052,283.4,10.7,30.2,43.2,4.1,1,100.6,2.1,314.4
NC55,5.8,78.0636,253.7,14.8,30.8,58.9,4,1,125.8,2.2,321.4
NC56,6.4,75.489,238.4,15.8,41.3,31.7,4.1,0.9,163.5,2.9,313.3
NC60,5.9,74.8733,267,12.9,24.9,78.2,4,0.7,175.5,2.7,322.9
NC61,3.6,60.68,263.4,12.4,18.4,45,3.4,0.7,77.4,2.4,305.4
NC62,3.6,58.0857,266.9,10.6,17.2,36.1,3.4,0.7,64.7,2.3,303.3
NC63,2.5,65.7239,280.9,11.6,18,39.8,3.3,1.5,88.5,2,331.4
NC64,2.7,70.7117,273.1,12.9,23.9,54.7,4.1,0.7,92.7,1.7,325.2
NC65,2.3,66.0233,254.1,11.3,26.9,43.1,4.2,0.7,87.7,3.1,330.8
NC66,5.7,75.1838,274.1,15.1,40.6,29.3,4.3,0.7,162.1,3,362.3
NC70,8.2,79.7902,278.3,17.6,31.8,81,4.3,0.7,181.5,2.9,334
NC71,4.1,68.5672,272.9,10.9,27,74.9,3,0.8,103.4,2.2,321.9
NC72,3.1,54.3628,239.1,10.3,13.7,35.8,3.2,0.7,63,2.3,296.1
NC73,2.5,58.5716,244,10.9,17,38.4,3.4,0.7,76.6,2.4,318
NC74,3.1,73.1575,251.8,13.7,32.1,76.8,4.1,0.7,114.2,2.5,309.2
NC75,3.5,65.766,248.5,15.3,38,53.4,3.7,0.7,129.1,3.1,324.3
NC76,3.2,76.0292,261.3,14.3,40.8,26.4,4.6,0.7,159.1,3.1,346.1
NC80,5.2,70.762,274.8,10,26.1,62.6,4.3,0.8,179.3,2,337
NC81,4.1,62.0974,271.4,14,29.5,76.4,3.7,1.2,139,1.6,309.8
NC82,3,58.2272,278.6,11.4,19.8,38.8,2.6,0.8,82.2,2.4,317.4
NC83,2.4,60.1476,245.8,10.7,17.3,36.8,3.5,0.7,69.9,2.3,313
NC84,3,64.0193,228.6,13.2,27,41.8,3.6,0.7,99.3,2.3,304
NC85,3.4,62.037,232.6,12.9,29.7,59.1,5.7,0.7,126.2,2.7,307.2
NC86,2.8,76.3404,235.3,12.7,44,26.1,5.3,0.8,166.7,3.3,318.1
NC90,18.6,75.0635,253.1,18,29.6,60.4,5.6,2.8,180.1,3,382.5
NC91,11.4,77.8958,271.8,17.7,29.7,70.6,6,0.9,172.1,3,336
NC92,3.6,59.5786,271.7,12.7,27.9,64.6,5,0.8,115.8,1.9,317.1
NC93,2.9,57.1068,235.8,12.3,23.5,62.6,3.1,0.7,101.6,2.1,299.2
NC94,3,58.6247,231.2,11.8,23.8,59,3.4,0.7,95.7,2,302
NC95,3.3,60.3364,240.2,12.8,25.8,46,3.5,0.8,116.2,2.7,303.2
NC96,3.7,76.2724,241.7,14.5,44.2,27.8,7,2.1,176.5,3.5,332.9
ND01,16,76.9503,250.9,17.5,30.8,72.9,6.2,6.4,168.7,3,341.3
ND02,2.8,65.97,241.4,12.6,23.9,58.5,6,0.7,143.4,2.2,308.9
ND03,3.1,59.9579,235.7,12.1,24.8,45.5,6.3,0.7,145.9,2.1,301.2
ND04,3.8,60.6332,225.3,14.2,26.8,48.1,7,2.2,145.2,2.3,300.8
ND05,4.3,70.0235,232.8,14.4,27.5,28.4,6.6,2.1,162,3,312.5
ND06,4.1,73.5408,197.2,14.5,42.9,27.1,7.1,1.9,173.9,3.5,288.3
ND07,4.3,63.2741,198.7,12.4,38.5,27.1,7.1,1.5,174.3,3.1,286.6
ND12,1,74.2735,237.4,19,26.3,61.5,7,2.4,167.3,3.2,335.3
ND13,1,75.829,244.3,13.7,25.6,71.5,6.9,0.8,165.7,3.3,326.5
ND14,4.8,67.8845,235.5,13.8,29.5,28,6.7,2.2,163.3,3.3,302.8
ND15,4.1,70.7348,203.8,14.7,30.4,23.9,7.2,1.7,169.3,3.1,299.7
ND16,4.2,73.6663,192.9,15.2,36,27.8,7.4,2,176.1,3.5,289.4
ND17,3.9,65.8712,235.8,11.9,41.6,27,5.6,1.5,176.7,4.4,303.4
ND19,2.4,46.0958,273.7,8.9,22.6,20.8,2.8,NA,87.6,3.1,349.8
ND23,4.1,74.0228,209.2,14.7,27.8,22.7,6.9,1.9,171.2,3.6,326.9
ND24,4.7,59.6261,211.4,12.1,32.7,23.8,6.3,1.5,149.8,2.5,304.7
ND25,4.2,72.2353,206.5,14.9,32.5,26.7,7.1,1.6,171.9,3.3,299.9
ND26,4.3,69.2672,198.2,13.4,32.3,25.4,7.2,1.5,167.9,3.2,289.1
ND27,4.4,67.5369,212.4,13.3,36.7,28,7.1,1.5,174.7,3.2,307.2
ND28,3.5,47.903,201.9,8.5,22.3,18.5,2.6,NA,66,3.1,288.8
ND29,4.5,60.0443,275,11.1,37.6,24.7,3.7,1.5,150,4.2,344.4
ND33,3.2,54.988,203.9,13.7,32.5,22.8,6.5,1.5,158.8,3.4,323.2
ND34,4.2,72.5808,212.3,15.1,33,27.9,6.9,1.5,177.2,3.5,311.8
ND35,4.2,71.0731,197,13.8,33.2,27.2,7.2,1.5,170,3.2,297.5
ND36,4.4,68.0277,220.9,13.3,35.1,25.2,7.2,1.5,174.7,3.2,303.9
ND37,4.4,65.529,224.1,13.2,36.8,25.8,7.2,1.5,174.5,3.3,313.7
ND38,4.2,50.1619,193,11.9,33.8,22.3,3.8,1.5,111.9,3.8,283.3
ND39,4.4,60.33,215.5,12.1,37.1,25.8,6.1,1.5,156.8,4.1,298.3
ND47,4,48.0072,201.7,11.4,32.5,19.9,5.5,1.5,96.9,3.1,290.3
ND48,4.4,58.7614,198.1,12,36.9,25.5,6.5,1.5,158.5,3.4,284.1
ND49,4.4,59.7147,192.3,12.5,37.4,26.4,5.3,1.5,162,3.8,281.1
NF60,5.4,55.014,306.4,16.5,39.1,28.2,8.1,2.4,171.4,2.7,390.2
NF66,3.3,38.3308,269.2,10.1,26.1,18.1,3.9,0.7,63.9,1.8,387.4
NF67,4.5,57.6567,268.7,11.8,36,28.4,7,0.7,84.8,1.7,384.9
NF68,3.1,NA,NA,11.3,25.7,15.8,4.8,0.7,149.1,0.9,NA
NF70,6.2,56.3214,305.2,16,40.8,30.9,7.6,3.5,178.9,2.8,393.3
NF71,4.8,54.3952,305.8,16.3,38.5,28.4,8.3,2.7,161.5,2.5,397.4
NF72,4.7,56.0332,280.2,15.9,38.1,28.3,8.3,0.8,152,2.4,389.6
NF73,4.9,56.5382,284.4,15.9,39.9,29.2,8.5,0.7,158.8,2.3,397.4
NF74,4.6,54.7468,287.8,14,38.8,28.7,8.1,0.7,118.6,2.1,401.4
NF75,4.6,56.5511,284.9,12.8,37.6,28.4,7.9,0.7,104.2,2,393.4
NF76,4.5,56.72,273.5,11.6,37,28.5,7.2,0.7,94,1.8,392.6
NF77,4.4,58.152,273.2,12.1,36.3,28.1,7,0.7,91.7,1.7,394.8
NF80,5.9,31.1344,282.2,16,37.2,27.6,8.4,2.2,180.1,3.1,362.1
NF81,5.1,41.8639,298.7,12.1,39.3,36.1,5.6,0.7,183.6,2.8,393
NF82,2.7,33.7862,304.2,11.8,29.6,17.9,5.3,0.8,171.9,2.7,391
NF83,8.1,46.8459,286.7,11.4,37.5,41.1,6.5,0.9,180.2,2.9,388.9
NF84,4.2,50.4579,264,12.2,41.4,29.1,7.5,0.7,99.6,2,366.5
NF85,4.8,53.0792,265.5,12.4,42.5,29.3,8.1,0.7,98.9,2.3,379.7
NF86,3.7,45.3042,260.5,10.2,40,23.8,8.3,0.7,84.9,1.6,362.6
NF87,4.5,57.3302,267.5,12.9,38,28.2,7.3,0.7,93.9,1.7,388.7
NF88,3.7,57.4685,287,11.3,31.6,22.8,4.1,0.7,80.7,1.6,391.4
NF89,3.5,39.2947,276.5,9.2,20.1,14.4,4.1,0.7,23.1,0.9,377.7
NF95,2.9,38.6255,283.7,10.7,31.8,14.7,7.5,0.7,156.9,1.6,395.7
NF96,3.9,46.6133,278.4,10.8,38.4,11.6,8.2,0.7,82.5,1.9,392.8
NF97,3.4,41.6731,285.2,9.4,34.4,12.7,6.9,0.7,78.1,1.6,390.9
NF98,4.8,58.1434,286.4,12.8,35.2,27,8,0.7,93.2,2.2,396.7
NF99,4.2,56.4815,296.2,12.1,33.1,24.1,7,0.7,91.5,1.9,374.4
NG08,5.1,56.9042,270.4,11.3,34.1,25.3,6.6,1.4,86.8,3.1,388.7
NG09,4.1,56.8114,278.1,11.4,31.8,22.5,6.9,0.7,90.7,2.1,398.9
NG13,5.7,36.5677,305.1,11.4,31.9,13.5,4.6,0.7,157.1,2.5,373.6
NG14,9.2,62.7409,262.2,13.4,34.4,45.2,4.3,0.7,194.6,1.9,346.3
NG15,7.5,60.3809,266.7,12.8,32.4,30.4,4.4,0.8,171.1,1.6,364.5
NG18,3.6,40.6629,290.4,8.9,30.6,10.9,7.1,0.7,78.9,1.6,401.9
NG19,4.5,49.4764,264.6,11.2,34.5,17.5,7.3,NA,84.5,3,388
NG20,10.2,69.9788,268.4,17,42.2,48.5,4.3,3.1,181.9,3.2,353.6
NG23,7.9,53.6605,268.1,12.9,33.5,27.3,4.3,0.8,160,1.9,346.2
NG24,8.1,72.3862,266,13.8,43.7,47.5,4.5,1.3,199.5,1.8,351.6
NG25,7.4,69.7775,277,13.1,40.3,36.4,4.3,0.8,183.8,1.7,365.4
NG26,6.7,66.0308,276.8,12,37.4,19.9,4.3,0.7,172.8,1.6,360.4
NG29,3.8,43.7171,267.5,13.6,31,13.5,6.3,NA,84.5,2.2,381.7
NG30,9.8,71.4161,297.3,16.9,44,51.6,4.3,3.4,198.3,2.9,355
NG31,8.6,40.6636,302,15.1,30.6,39.1,4.4,2.7,168.7,2.7,335.5
NG32,7.8,64.5937,284.3,13.8,33.7,51.3,4.2,1.3,180.9,1.6,317.5
NG33,7.6,71.4318,275,13.7,44.2,46.3,4.3,1.4,181.1,1.7,353.9
NG34,7,64.0443,256.2,14.3,34.8,37,4.2,1.3,170.5,1.6,339.7
NG35,7.3,70.5633,269.8,13.8,41,34.7,4.4,1.4,166.1,1.6,346.9
NG36,7,67.0513,284.9,12.3,39.1,24.9,4.3,0.8,168.3,1.6,350.7
NG37,6.2,57.3887,282.1,11.9,32.3,20.7,4.7,0.8,112.9,1.7,355.6
NG40,8.4,54.9077,300.1,16.6,32.5,37.4,4.6,1.1,185.9,3.5,355.2
NG41,6.2,66.7055,281.5,17.5,39.8,47.1,4.3,4.3,174.2,1.8,343.4
NG42,8.6,71.7755,290.8,14.2,39.9,51.6,4.2,1.9,177.5,1.6,326.6
NG43,5.1,71.4711,248.1,14.1,40.7,51,4.3,1.4,177,1.6,324
NG44,6.3,73.8686,259.8,13.8,43,46.6,4.4,1.5,158.9,1.7,332.9
NG45,5.7,72.9204,274,13.8,41.8,41.8,4.3,1.4,125.8,1.6,333.6
NG46,6.4,69.4863,260.9,13.3,40.3,37.5,4.3,1.9,166.5,1.6,333.5
NG47,6.3,67.1317,268.7,12.8,38.9,31.3,4.4,1.1,154.4,1.6,340.8
NG49,4.3,41.4911,292.5,13.1,31,9.2,7.7,NA,89.7,0.8,344.1
NG50,7.8,74.7119,288.3,19.2,42.9,49.7,4.5,4.6,193.8,3.4,339.8
NG51,7.1,75.6815,286.7,17.5,45.1,48.9,4.4,4.2,173.8,2.5,342.2
NG52,6.7,74.8533,290.9,13.9,43,51,4.3,1.7,139.6,1.6,332.4
NG53,6.5,75.2351,273,13.7,43,46.5,4.4,1.5,121.5,1.7,340.3
NG54,5.9,74.1099,292.9,13.8,41.6,36.3,4.3,1.5,110.5,1.6,350.3
NG55,5.9,71.4325,256.9,13.9,40.3,38.9,4.2,1.4,154.3,1.6,326.9
NG56,6.2,63.8452,256.5,14,34.4,19.8,4.3,1,165.8,1.6,326.6
NG60,7.5,75.7343,269.6,19.3,43.6,50.9,4.5,4.4,169.7,3.7,331.5
NG61,6.7,75.9377,274.9,17.9,44.3,44.5,4.4,3.8,137.4,2.1,333.9
NG62,6.6,75.3481,259.8,14.7,44.7,50.4,4.4,1.5,122.1,1.8,318.5
NG63,3,44.0626,310.3,14.5,36.9,25.9,4.3,1.8,91.3,1.5,351.2
NG64,5.4,50.1486,300.7,15,31.6,40.9,3.7,2.2,190.8,2.2,331.8
NG65,5.4,71.7644,300.9,16.9,37.8,22.1,4,1.5,168.5,1.5,323.7
NG66,3.9,55.1453,302,14.9,32.2,28.4,4.3,0.7,163,2.8,332.1
NG70,6.4,77.0073,270.9,19.8,38.2,52.5,4.3,1.5,175.5,3.2,290.4
NG71,7.3,76.2785,258.9,17.6,42.3,44.5,4.5,1.6,92.2,2.3,310
NG72,6.5,76.3824,271.3,15.4,43.9,44.6,4.5,1.5,103.4,1.9,337.6
NG73,4.9,72.6982,278.3,17.6,39.2,34.3,4.2,1.6,164.9,2.4,303.2
